experiment,round,test_acc,train_loss
GlobSage,10,0.6892,1.2476
GlobSage,20,0.7297,0.7308
GlobSage,30,0.7477,0.4611
GlobSage,40,0.7508,0.3171
GlobSage,50,0.7462,0.2326
GlobSage,60,0.7523,0.1793
GlobSage,70,0.7538,0.1391
GlobSage,80,0.7447,0.1168
GlobSage,90,0.7447,0.0978
GlobSage,100,0.7432,0.0854
GlobSage,110,0.7417,0.071
GlobSage,120,0.7477,0.0702
GlobSage,130,0.7477,0.0586
GlobSage,140,0.7462,0.0581
GlobSage,150,0.7492,0.0496
GlobSage,160,0.7477,0.0476
GlobSage,170,0.7477,0.0464
GlobSage,180,0.7477,0.0494
GlobSage,190,0.7447,0.0447
GlobSage,200,0.7462,0.0391
GlobSage,210,0.7447,0.0376
GlobSage,220,0.7462,0.0396
GlobSage,230,0.7432,0.0376
GlobSage,240,0.7432,0.0399
GlobSage,250,0.7447,0.0349
GlobSage,260,0.7447,0.0342
GlobSage,270,0.7432,0.0364
GlobSage,280,0.7462,0.0323
GlobSage,290,0.7462,0.0302
GlobSage,300,0.7477,0.0328
FedSage,10,0.7342,
FedSage,20,0.7508,
FedSage,30,0.7432,
FedSage,40,0.7447,
FedSage,50,0.7432,
FedSage,60,0.7447,
FedSage,70,0.7432,
FedSage,80,0.7387,
FedSage,90,0.7342,
FedSage,100,0.7342,
FedSage+,10,0.7282,
FedSage+,20,0.7447,
FedSage+,30,0.7538,
FedSage+,40,0.7508,
FedSage+,50,0.7523,
FedSage+,60,0.7538,
FedSage+,70,0.7553,
FedSage+,80,0.7568,
FedSage+,90,0.7538,
FedSage+,100,0.7523,
