experiment,round,test_acc,train_loss
GlobSage,10,0.3683,1.6027
GlobSage,20,0.7311,1.1575
GlobSage,30,0.8785,0.7696
GlobSage,40,0.8987,0.5066
GlobSage,50,0.895,0.3562
GlobSage,60,0.8987,0.2714
GlobSage,70,0.9042,0.2166
GlobSage,80,0.9042,0.1732
GlobSage,90,0.9042,0.15
GlobSage,100,0.9024,0.1292
GlobSage,110,0.9042,0.1176
GlobSage,120,0.9024,0.0981
GlobSage,130,0.9024,0.0856
GlobSage,140,0.9006,0.0818
GlobSage,150,0.9024,0.0705
GlobSage,160,0.9024,0.0642
GlobSage,170,0.9024,0.0607
GlobSage,180,0.9024,0.058
GlobSage,190,0.9024,0.0504
GlobSage,200,0.9006,0.0541
GlobSage,210,0.9006,0.0466
GlobSage,220,0.9006,0.0445
GlobSage,230,0.9006,0.0441
GlobSage,240,0.9024,0.0425
GlobSage,250,0.9024,0.0422
GlobSage,260,0.9006,0.041
GlobSage,270,0.9024,0.0387
GlobSage,280,0.9006,0.0357
GlobSage,290,0.9006,0.0373
GlobSage,300,0.8987,0.0373
FedSage,10,0.6446,
FedSage,20,0.8637,
FedSage,30,0.8858,
FedSage,40,0.8969,
FedSage,50,0.8987,
FedSage,60,0.9006,
FedSage,70,0.8987,
FedSage,80,0.9006,
FedSage,90,0.8987,
FedSage,100,0.8969,
FedSage+,10,0.4604,
FedSage+,20,0.7514,
FedSage+,30,0.8435,
FedSage+,40,0.8637,
FedSage+,50,0.8711,
FedSage+,60,0.8877,
FedSage+,70,0.8932,
FedSage+,80,0.8932,
FedSage+,90,0.8969,
FedSage+,100,0.9006,
